title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
Senior DevOps/Platform Engineer (Saudi Nationals),Confidential Company,Saudi Arabia - via Naukrigulf,,,"redis, elasticsearch, gcp, kubernetes, linux",Not Specified,"Manage and support Linux servers, Kubernetes clusters, and containerized workloads.Administer and optimize GCP resources and cloud services.Support platform services including Elasticsearch, Redis, RabbitMQ, and associated components.Monitor platform health, integrations, logs, alerts, and overall s",Full-time,https://www.naukrigulf.com/senior-devops-platform-engineer-jobs-in-riyadh-saudi-arabia-in-confidential-3-to-8-years-n-jid-270726000624,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
DevOps Lead,Client of imploy,Riyadh - via Naukrigulf,,,"ci/cd, devops",Not Specified,"About the Role We are seeking an experienced DevOps Lead to drive the design, implementation, and continuous improvement of our cloud infrastructure, CI/CD pipelines, and deployment strategies. In this leadership role, you will oversee the DevOps function, mentor engineering teams, and ensure the re",Full-time,https://www.naukrigulf.com/devops-lead-jobs-in-riyadh-saudi-arabia-in-client-of-imploy-7-to-12-years-n-cd-50000292-jid-210726500362,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
"DevOps Engineer | Cloud, CI/CD & Kubernetes",Raqmiyat,Riyadh - via Jobs In Saudi Arabia - Jooble,,,"ci/cd, devops",3 years of experience,"An IT and digital transformation company in Saudi Arabia is seeking a skilled DevOps Engineer to design and maintain CI/CD pipelines and manage cloud infrastructure. The ideal candidate has over 3 years of experience and proficiency in CI/CD tools, cloud platforms, and scripting languages. Responsib",Full-time,https://sa.jooble.org/jdp/780851207308569624,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
GCP Cloud DevOps Engineer (m/f/d),"Halian | Managed Services, Recruitment Agency & Contract Staffing",Saudi Arabia - via BeBee,,,"gcp, devops",minimum of 7 years,"Location - Dhahran, KSA
We are seeking a highly accomplished, senior-level GCP DevOps Engineer with a minimum of 7 years of experience specializing in designing, building, and delivering robust, enterprise-scale DevOps solutions. This role is tailored for a technical powerhouse who has a proven trac",Full-time,https://bebee.com/sa/jobs/gcp-cloud-devops-engineer-halian-managed-services-recruitment-agency-contract-staffing-al-khobar-eas--t7xk-812149992,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
"Senior Cloud & DevOps Engineer: AWS, Azure, Terraform",UNKNOWN,Riyadh - via JobLeads,,,"aws, azure, devops",Not Specified,"Unknown is seeking a Cloud & DevOps engineer to support clients in Saudi Arabia and Jordan, designing, migrating and operating cloud infrastructure on AWS and Azure. You will lead engagements from readiness assessment to run-and-operate handover, collaborating with a team that values reliability and",Full-time,https://www.jobleads.com/sa/job/senior-cloud-devops-engineer-aws-azure-terraform--riyadh--e550e24bb4d13baca4ec02ce79482a885,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Senior Devops Engineer - GCP,"Halian | Managed Services, Recruitment and Contract Staffing Agency",Dhahran - via LinkedIn,,,"google cloud, ci/cd, devops",Not Specified,"Job Summary:

We are looking for an experienced Cloud DevOps Engineer to join our clients team, you will be responsible for designing and maintaining robust CI/CD pipelines, managing infrastructure as code, and architecting scalable solutions on Google Cloud Platform. You will play a key role in int",متعاقد,https://sa.linkedin.com/jobs/view/senior-devops-engineer-gcp-at-halian-managed-services-recruitment-agency-contract-staffing-4456609926,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
DevOps Engineer,webook.com,Riyadh - via Workable Jobs,,,Not Specified,Not Specified,"Do you want to love what you do at work? Do you want to make a difference, an impact, transform peoples lives? Do you want to work with a team that believes in disrupting the normal, boring, and average?

If yes, then this is the job you're looking for ,webook.com is Saudi's #1 event ticketing and e",Full-time,https://apply.workable.com/webook/j/0E31576A95,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
"SRE, DevOps Engineer",Jobtailor,Saudi Arabia - via Jobs In Saudi Arabia - Jooble,,,"ci/cd, devops",Not Specified,"• Develop and deliver software required for building & improving the functionality, reliability, availability, and manageability of applications and cloud platforms using a DevOps model for On-Prem (OpenStack)

• Automate the development, testing, and deployment processes through CI/CD pipelines (Gi",Full-time,https://sa.jooble.org/jdp/7167594226154149166,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
DevOps Engineer,EPAM Systems,Khobar - via BeBee,,,Not Specified,Not Specified,"About us

EPAM Systems is a leading global provider of digital platform engineering and software development services. Founded in 1993 and headquartered in Newtown, Pennsylvania, EPAM has been helping clients navigate digital transformation for over 30 years, delivering innovative solutions to stay",Full-time,https://bebee.com/sa/jobs/devops-engineer-epam-systems-al-khobar--bs-sa-8aac99b6-8d39-4549-b7e5-834751a663d5,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cloud Engineer (Saudi Arabia),Eram Talent,Dammam - via Workable Jobs,,,cybersecurity,Not Specified,"We are looking for a motivated Cloud Engineer to support the design, implementation, management, and operation of secure public cloud environments. The ideal candidate will have foundational knowledge of cloud networking, cloud security, identity management, and cybersecurity, with a strong interest",Full-time,https://apply.workable.com/eramtalent-1/j/308BCC86A6/,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Sr. Cloud Platform Engineer,Masdr - مصدر,Riyadh - via LinkedIn,,,cybersecurity,Not Specified,"About Masdr

Masdr provides integrated digital data and business solutions to public and private sector organizations, enabling operational efficiency, enhanced customer experience, data-driven decision-making, and compliance with regulatory and cybersecurity requirements through advanced digital te",Full-time,https://sa.linkedin.com/jobs/view/sr-cloud-platform-engineer-at-masdr-%D9%85%D8%B5%D8%AF%D8%B1-4455375413,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cloud & DevOps Engineer,UNKNOWN,Riyadh - via JobLeads,,,"aws, azure, devops",4+ years,"Riyadh, Saudi Arabia / Amman, Jordan Full-time 4+ years

Join our Cloud & DevOps practice to help enterprise and public-sector clients in Saudi Arabia design, migrate and operate cloud infrastructure on AWS and Azure. You'll lead engagements from readiness assessment through wave-based migration to",Full-time,https://www.jobleads.com/sa/job/cloud-devops-engineer--riyadh--e38512f594f3ca8292c2e7c3fdf851285,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cloud Infrastructure Automation Engineer,DeepSource Technologies,Riyadh - via GulfTalent,,,"kubernetes, terraform, ansible",Not Specified,"Description

Design, deploy, and manage VMware environments including vSphere, NSX-T, vSAN, and ESXi for enterprise clients.

Build and maintain infrastructure automation pipelines using Terraform and Ansible across public, private, and hybrid cloud environments.

Deploy and optimize Kubernetes clus",Full-time,https://www.gulftalent.com/saudi-arabia/jobs/cloud-infrastructure-automation-engineer-597485,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cloud Infrastructure Senior Officer,جيبي,Riyadh - via LinkedIn,,,devops,Not Specified,"We’re Hiring | Cloud Infrastructure Senior Officer

We are looking for a Cloud Infrastructure Senior Officer to manage and support our cloud infrastructure environment, with a focus on OCI, system administration, DevOps automation, security, and compliance.

Key Responsibilities:
• Manage and suppor",Full-time,https://sa.linkedin.com/jobs/view/cloud-infrastructure-senior-officer-at-j-b-%D8%AC%D9%8A%D8%A8%D9%8A-4454256468,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
"Cloud Machine Learning Engineer - Riyadh, KSA","Qualcomm Technologies, Inc",Riyadh - via Bayt.com,,,Not Specified,Not Specified,"Company:Qualcomm Middle East Information Technology Company LLC
Job Area:Engineering Group, Engineering Group > Software Engineering
General Summary:

About Us

Qualcomm is growing its presence in Riyadh and is hiring Data Centre Engineers to support our expanding infrastructure across the region.",Full-time,https://www.bayt.com/ar/saudi-arabia/jobs/cloud-machine-learning-engineer-riyadh-ksa-74859868/,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cloud Systems Engineer,Jeddah Smart Systems,Jeddah - via BeBee,,,Not Specified,Not Specified,"Company Name : Jeddah Smart Systems

Location: Jeddah, Saudi Arabia

Address: Hira St, Al Naeem, Jeddah 23526

Position: Cloud Systems Engineer

Salary: SAR 21,800 / month
About the Role

Jeddah Smart Systems is seeking an experienced Cloud Systems Engineer to design, deploy, and manage secure, scal",Full-time,https://bebee.com/sa/jobs/cloud-systems-engineer-jeddah-smart-systems-jeddah--t7xk-766309056,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Cloud Engineer — Multi-Cloud Automation & Security,Atriasolutions,Riyadh - via Jobs In Saudi Arabia - Jooble,,,Not Specified,Not Specified,"Atriasolutions is seeking a skilled Cloud Engineer for our team in Riyadh, Saudi Arabia. The successful candidate will implement, secure, and maintain cloud infrastructure on a multi-cloud environment.

Responsibilities include building scalable cloud solutions, migrating applications, optimizing re",Full-time,https://sa.jooble.org/jdp/-2741088928951820863,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
"Azure Cloud Engineer: Secure, Cost‑Efficient Cloud Ops",Müller`s Solutions,Saudi Arabia - via BeBee,,,azure,3+ years,"A leading cloud solutions provider in Saudi Arabia is seeking an experienced Azure Cloud Engineer to manage Azure infrastructure. You'll collaborate with various teams to design, deploy, and optimize cloud solutions ensuring scalability and security. Candidates should have 3+ years of experience in",Full-time,https://bebee.com/sa/jobs/azure-cloud-engineer-secure-costefficient-cloud-ops-mullers-solutions--bs-sa-a3a3b9e9-af70-410c-b72e-8c707ee78139,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
DevOps & Cloud Engineer Jobs in Saudi Arabia | Full-Time,Defined Solutions,Riyadh - via Jobrapido.com,,,devops,Not Specified,"Location
Saudi Arabia
Job Category
Information Technology (IT) & Software
Engineering & Technical
Job Overview
Defined Solutions is seeking a talented
DevOps & Cloud Engineer
to join its
DevOps & Cloud Engineering
team in
Saudi Arabia . This full-time opportunity is ideal for professionals with 1–3",Full-time,https://sa.jobrapido.com/jobpreview/5493253943846764544,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Senior Network Engineer,Penta Consulting,Jeddah - via LinkedIn,,,Not Specified,Not Specified,"Penta Consulting are a technology service provider and leading outsourced partner helping to deliver professional and managed solutions across EMEA.

Are you passionate about designing, deploying, and supporting complex Cisco networking environments? We're looking for experienced Cisco Network Engin",Full-time,https://sa.linkedin.com/jobs/view/senior-network-engineer-at-penta-consulting-4456720317,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Network and Infrastructure Engineer,Ninja,Jeddah - via GulfTalent,,,Not Specified,Not Specified,"Job Description

We are looking for a skilled network and infrastructure engineer to manage and maintain the organization's network infrastructure across HQ and dark store locations. The role is responsible for ensuring reliable LAN/WAN connectivity, secure VPN communications, CCTV surveillance syst",Full-time,https://www.gulftalent.com/saudi-arabia/jobs/network-and-infrastructure-engineer-611353,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Freelance Network Engineer,Purple Rock IT Solutions,Jeddah - via GulfTalent,,,Not Specified,Not Specified,"Important — please read before applying

• You must currently be based in the KSA on a valid residence or employment visa. Candidates based outside the KSA will not be considered.

• Monthly salary for this role is SAR 8,000–12,000. If your expectations are significantly above this range, please con",Full-time,https://www.gulftalent.com/saudi-arabia/jobs/freelance-network-engineer-617447,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
